"CY","zip","Daily.kgH2","country"
2023,91761,105,"USA"
2024,91761,195,"USA"
2025,91761,300,"USA"
2026,91761,420,"USA"
2027,91761,555,"USA"
2028,91761,705,"USA"
2029,91761,855,"USA"
2030,91761,1020,"USA"
2018,91773,0,"USA"
2019,91773,20,"USA"
2020,91773,50,"USA"
2021,91773,100,"USA"
2022,91773,160,"USA"
2023,91773,240,"USA"
2024,91773,340,"USA"
2025,91773,440,"USA"
2026,91773,570,"USA"
2027,91773,710,"USA"
2028,91773,870,"USA"
2029,91773,1040,"USA"
2030,91773,1160,"USA"
2018,91786,0,"USA"
2019,91786,20,"USA"
2020,91786,50,"USA"
2021,91786,100,"USA"
2022,91786,160,"USA"
2023,91786,240,"USA"
2024,91786,340,"USA"
2025,91786,440,"USA"
2026,91786,570,"USA"
2027,91786,710,"USA"
2028,91786,870,"USA"
2029,91786,1000,"USA"
2030,91786,960,"USA"
2018,91803,0,"USA"
2019,91803,20,"USA"
2020,91803,50,"USA"
2021,91803,100,"USA"
2022,91803,160,"USA"
2023,91803,240,"USA"
2024,91803,340,"USA"
2025,91803,440,"USA"
2026,91803,570,"USA"
2027,91803,710,"USA"
2028,91803,870,"USA"
2029,91803,1040,"USA"
2030,91803,1160,"USA"
2018,91911,0,"USA"
2019,91911,0,"USA"
2020,91911,0,"USA"
2021,91911,0,"USA"
2022,91911,0,"USA"
2023,91911,21.5827338129496,"USA"
2024,91911,118.705035971223,"USA"
2025,91911,183.453237410072,"USA"
2026,91911,312.94964028777,"USA"
2027,91911,464.028776978417,"USA"
2028,91911,625.89928057554,"USA"
2029,91911,809.352517985611,"USA"
2030,91911,992.805755395683,"USA"
2018,91914,0,"USA"
2019,91914,0,"USA"
2020,91914,0,"USA"
2021,91914,0,"USA"
2022,91914,15,"USA"
2023,91914,52.5,"USA"
2024,91914,97.5,"USA"
2025,91914,150,"USA"
2026,91914,210,"USA"
2027,91914,277.5,"USA"
2028,91914,352.5,"USA"
2029,91914,427.5,"USA"
2030,91914,510,"USA"
2018,92010,0,"USA"
2019,92010,0,"USA"
2020,92010,0,"USA"
2021,92010,0,"USA"
2022,92010,15,"USA"
2023,92010,52.5,"USA"
2024,92010,97.5,"USA"
2025,92010,150,"USA"
2026,92010,210,"USA"
2027,92010,277.5,"USA"
2028,92010,352.5,"USA"
2029,92010,427.5,"USA"
2030,92010,510,"USA"
2018,92020,0,"USA"
2019,92020,0,"USA"
2020,92020,0,"USA"
2021,92020,0,"USA"
2022,92020,0,"USA"
2023,92020,21.5827338129496,"USA"
2024,92020,118.705035971223,"USA"
2025,92020,183.453237410072,"USA"
2026,92020,312.94964028777,"USA"
2027,92020,464.028776978417,"USA"
2028,92020,625.89928057554,"USA"
2029,92020,809.352517985611,"USA"
2030,92020,992.805755395683,"USA"
2018,92069,0,"USA"
2019,92069,0,"USA"
2020,92069,0,"USA"
2021,92069,0,"USA"
2022,92069,15,"USA"
2023,92069,52.5,"USA"
