CY,MY,FCET_type,Population.NoLoss,Population.Survived,Fleet,Hub,Age,Survival
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VAN NUYS 11021,UPS CC - VAN NUYS 11021,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SANTA MARIA 11494,UPS CC - SANTA MARIA 11494,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,UPS CC - SAN LUIS OBISPO 11491,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,3,0.97
