path_id,orig_node_id,dest_node_id,node_seq,node_id
43,35,12,2,27
43,35,12,3,68
43,35,12,4,67
43,35,12,5,22
43,35,12,6,48
43,35,12,7,47
43,35,12,8,46
43,35,12,9,45
43,35,12,10,44
43,35,12,11,43
43,35,12,12,21
43,35,12,13,42
43,35,12,14,17
43,35,12,15,18
43,35,12,16,13
43,35,12,17,12
44,33,12,0,33
44,33,12,1,34
44,33,12,2,35
44,33,12,3,38
44,33,12,4,27
44,33,12,5,68
44,33,12,6,67
44,33,12,7,22
44,33,12,8,48
44,33,12,9,47
44,33,12,10,46
44,33,12,11,45
44,33,12,12,44
44,33,12,13,43
44,33,12,14,21
44,33,12,15,42
44,33,12,16,17
44,33,12,17,18
44,33,12,18,13
44,33,12,19,12
45,7,12,0,7
45,7,12,1,6
45,7,12,2,10
45,7,12,3,11
45,7,12,4,40
45,7,12,5,12
46,5,12,0,5
46,5,12,1,4
46,5,12,2,10
46,5,12,3,11
46,5,12,4,40
46,5,12,5,12
47,6,12,0,6
47,6,12,1,10
47,6,12,2,11
47,6,12,3,40
47,6,12,4,12
48,37,12,0,37
48,37,12,1,36
48,37,12,2,34
48,37,12,3,35
48,37,12,4,38
48,37,12,5,27
48,37,12,6,68
48,37,12,7,67
48,37,12,8,22
48,37,12,9,48
48,37,12,10,47
48,37,12,11,46
48,37,12,12,45
48,37,12,13,44
48,37,12,14,43
48,37,12,15,21
48,37,12,16,42
48,37,12,17,17
48,37,12,18,18
48,37,12,19,13
48,37,12,20,12
49,39,12,0,39
49,39,12,1,70
49,39,12,2,33
49,39,12,3,34
49,39,12,4,35
49,39,12,5,38
49,39,12,6,27
49,39,12,7,68
49,39,12,8,67
49,39,12,9,22
49,39,12,10,48
49,39,12,11,47
49,39,12,12,46
49,39,12,13,45
49,39,12,14,44
49,39,12,15,43
49,39,12,16,21
49,39,12,17,42
49,39,12,18,17
49,39,12,19,18
49,39,12,20,13
49,39,12,21,12
50,14,12,0,14
50,14,12,1,13
50,14,12,2,12
51,15,12,0,15
51,15,12,1,14
51,15,12,2,13
51,15,12,3,12
52,19,12,0,19
52,19,12,1,20
52,19,12,2,18
52,19,12,3,13
52,19,12,4,12
53,16,12,0,16
53,16,12,1,15
53,16,12,2,14
53,16,12,3,13
53,16,12,4,12
54,17,12,0,17
54,17,12,1,18
54,17,12,2,13
54,17,12,3,12
55,1,12,0,1
55,1,12,1,76
55,1,12,2,75
55,1,12,3,2
55,1,12,4,74
55,1,12,5,73
55,1,12,6,72
55,1,12,7,71
55,1,12,8,3
55,1,12,9,11
55,1,12,10,40
55,1,12,11,12
56,2,12,0,2
56,2,12,1,74
56,2,12,2,73
56,2,12,3,72
56,2,12,4,71
56,2,12,5,3
56,2,12,6,11
56,2,12,7,40
56,2,12,8,12
57,13,25,0,13
57,13,25,1,18
57,13,25,2,20
57,13,25,3,19
57,13,25,4,50
57,13,25,5,23
57,13,25,6,51
57,13,25,7,24
57,13,25,8,52
57,13,25,9,53
57,13,25,10,54
57,13,25,11,25
58,18,25,0,18
